,Date,Location,Reduction_in_electricity_demand,Running_total,Location_running_total
10972,2021-11-01,Elec_CAP[GwH],-9.0,-45.0,-9.0
10973,2022-02-01,Elec_CAP[GwH],1.0,-32.0,-8.0
10974,2022-05-01,Elec_CAP[GwH],-5.0,-29.0,-13.0
10975,2022-06-01,Elec_CAP[GwH],4.0,-19.0,-9.0
10976,2022-07-01,Elec_CAP[GwH],5.0,-30.0,-4.0
10977,2022-08-01,Elec_CAP[GwH],-5.0,-26.0,-9.0
10978,2022-09-01,Elec_CAP[GwH],-12.0,-18.0,-21.0
10979,2022-12-01,Elec_CAP[GwH],-2.0,34.0,-23.0
10980,2023-01-01,Elec_CAP[GwH],3.0,41.0,-20.0
10981,2023-04-01,Elec_CAP[GwH],-1.0,-278.0,-21.0
10982,2023-05-01,Elec_CAP[GwH],-1.0,-281.0,-22.0
10983,2023-06-01,Elec_CAP[GwH],-2.0,-273.0,-24.0
10984,2023-07-01,Elec_CAP[GwH],4.0,-257.0,-20.0
10985,2023-09-01,Elec_CAP[GwH],-7.0,-164.0,-27.0
10986,2023-11-01,Elec_CAP[GwH],2.0,-110.0,-25.0
10987,2023-12-01,Elec_CAP[GwH],3.0,-93.0,-22.0
10988,2024-02-01,Elec_CAP[GwH],-2.0,52.0,-24.0
10989,2024-05-01,Elec_CAP[GwH],-6.0,75.0,-30.0
10990,2024-06-01,Elec_CAP[GwH],-4.0,66.0,-34.0
10991,2024-07-01,Elec_CAP[GwH],1.0,64.0,-33.0
10992,2024-08-01,Elec_CAP[GwH],-8.0,71.0,-41.0
10993,2024-09-01,Elec_CAP[GwH],6.0,105.0,-35.0
10994,2024-10-01,Elec_CAP[GwH],-1.0,117.0,-36.0
10995,2024-11-01,Elec_CAP[GwH],17.0,177.0,-19.0
10996,2024-12-01,Elec_CAP[GwH],7.0,172.0,-12.0
10997,2025-06-01,Elec_CAP[GwH],-7.0,253.0,-19.0
10998,2025-07-01,Elec_CAP[GwH],-3.0,252.0,-22.0
10999,2025-08-01,Elec_CAP[GwH],-7.0,268.0,-29.0
11000,2025-09-01,Elec_CAP[GwH],3.0,311.0,-26.0
11001,2025-10-01,Elec_CAP[GwH],-13.0,323.0,-39.0
11002,2025-12-01,Elec_CAP[GwH],-1.0,342.0,-40.0
11003,2026-01-01,Elec_CAP[GwH],2.0,356.0,-38.0
11004,2026-05-01,Elec_CAP[GwH],-11.0,382.0,-49.0
11005,2026-06-01,Elec_CAP[GwH],11.0,387.0,-38.0
11006,2026-07-01,Elec_CAP[GwH],3.0,392.0,-35.0
11007,2026-08-01,Elec_CAP[GwH],4.0,409.0,-31.0
11008,2026-09-01,Elec_CAP[GwH],2.0,442.0,-29.0
11009,2026-10-01,Elec_CAP[GwH],-3.0,459.0,-32.0
11010,2026-11-01,Elec_CAP[GwH],1.0,498.0,-31.0
11011,2026-12-01,Elec_CAP[GwH],2.0,517.0,-29.0
11012,2027-01-01,Elec_CAP[GwH],-2.0,524.0,-31.0
11013,2028-01-01,Elec_CAP[GwH],-1.0,681.0,-32.0
11014,2028-04-01,Elec_CAP[GwH],3.0,682.0,-29.0
11015,2028-05-01,Elec_CAP[GwH],-5.0,614.0,-34.0
11016,2028-06-01,Elec_CAP[GwH],-7.0,618.0,-41.0
11017,2028-07-01,Elec_CAP[GwH],-11.0,626.0,-52.0
11018,2028-08-01,Elec_CAP[GwH],-10.0,648.0,-62.0
11019,2028-09-01,Elec_CAP[GwH],3.0,707.0,-59.0
11020,2028-10-01,Elec_CAP[GwH],2.0,727.0,-57.0
11021,2029-01-01,Elec_CAP[GwH],8.0,569.0,-49.0
11022,2029-02-01,Elec_CAP[GwH],-1.0,572.0,-50.0
11023,2029-05-01,Elec_CAP[GwH],1.0,445.0,-49.0
11024,2029-09-01,Elec_CAP[GwH],2.0,997.0,-47.0
11025,2029-10-01,Elec_CAP[GwH],-3.0,1250.0,-50.0
11026,2029-11-01,Elec_CAP[GwH],-6.0,1467.0,-56.0
11027,2031-10-01,Elec_CAP[GwH],1.0,3533.0,-55.0
11028,2032-01-01,Elec_CAP[GwH],-5.0,3764.0,-60.0
11029,2032-03-01,Elec_CAP[GwH],-1.0,3830.0,-61.0
11030,2033-02-01,Elec_CAP[GwH],-3.0,6193.0,-64.0
11031,2033-03-01,Elec_CAP[GwH],-23.0,6188.0,-87.0
11032,2033-04-01,Elec_CAP[GwH],-2.0,6196.0,-89.0
11033,2033-12-01,Elec_CAP[GwH],-3.0,7794.0,-92.0
11034,2034-02-01,Elec_CAP[GwH],3.0,7958.0,-89.0
11035,2034-03-01,Elec_CAP[GwH],2.0,7976.0,-87.0
11036,2034-05-01,Elec_CAP[GwH],-2.0,8017.0,-89.0
11037,2034-11-01,Elec_CAP[GwH],-2.0,9303.0,-91.0
11038,2034-12-01,Elec_CAP[GwH],-2.0,9414.0,-93.0
11039,2035-01-01,Elec_CAP[GwH],-3.0,9529.0,-96.0
11040,2035-03-01,Elec_CAP[GwH],1.0,9543.0,-95.0
11041,2035-11-01,Elec_CAP[GwH],-2.0,10664.0,-97.0
11042,2035-12-01,Elec_CAP[GwH],-2.0,10812.0,-99.0
11043,2036-01-01,Elec_CAP[GwH],-2.0,10860.0,-101.0
11044,2037-05-01,Elec_CAP[GwH],-1.0,12286.0,-102.0
11045,2037-12-01,Elec_CAP[GwH],-1.0,13585.0,-103.0
11046,2038-06-01,Elec_CAP[GwH],1.0,14001.0,-102.0
11047,2038-08-01,Elec_CAP[GwH],-3.0,14339.0,-105.0
11048,2038-09-01,Elec_CAP[GwH],2.0,14531.0,-103.0
11049,2039-11-01,Elec_CAP[GwH],2.0,16402.0,-101.0
11050,2040-01-01,Elec_CAP[GwH],-29.0,16621.0,-130.0
11051,2041-04-01,Elec_CAP[GwH],2.0,17416.0,-128.0
11052,2042-01-01,Elec_CAP[GwH],1.0,21874.0,-127.0
11053,2042-02-01,Elec_CAP[GwH],1.0,22037.0,-126.0
11054,2042-03-01,Elec_CAP[GwH],1.0,22110.0,-125.0
11055,2042-04-01,Elec_CAP[GwH],2.0,22162.0,-123.0
11056,2043-02-01,Elec_CAP[GwH],-172.0,28400.0,-295.0
11057,2043-03-01,Elec_CAP[GwH],4.0,28499.0,-291.0
11058,2043-04-01,Elec_CAP[GwH],5.0,28533.0,-286.0
11059,2044-01-01,Elec_CAP[GwH],54.0,34606.0,-232.0
11060,2044-02-01,Elec_CAP[GwH],22.0,34852.0,-210.0
11061,2044-04-01,Elec_CAP[GwH],-1.0,34445.0,-211.0
11062,2044-05-01,Elec_CAP[GwH],9.0,34577.0,-202.0
11063,2044-12-01,Elec_CAP[GwH],13.0,39671.0,-189.0
11064,2045-01-01,Elec_CAP[GwH],10.0,40240.0,-179.0
11065,2045-02-01,Elec_CAP[GwH],5.0,40200.0,-174.0
11066,2045-03-01,Elec_CAP[GwH],6.0,40238.0,-168.0
11067,2045-04-01,Elec_CAP[GwH],6.0,40445.0,-162.0
11068,2046-03-01,Elec_CAP[GwH],4.0,47027.0,-158.0
11069,2046-04-01,Elec_CAP[GwH],4.0,47180.0,-154.0
11070,2047-02-01,Elec_CAP[GwH],5.0,55280.0,-149.0
11071,2047-04-01,Elec_CAP[GwH],4.0,55384.0,-145.0
11072,2047-10-01,Elec_CAP[GwH],-1.0,60957.0,-146.0
11073,2047-12-01,Elec_CAP[GwH],5.0,62954.0,-141.0
11074,2048-01-01,Elec_CAP[GwH],-34.0,63608.0,-175.0
11075,2048-04-01,Elec_CAP[GwH],3.0,64125.0,-172.0
11076,2048-05-01,Elec_CAP[GwH],4.0,64401.0,-168.0
11077,2048-08-01,Elec_CAP[GwH],-5.0,66545.0,-173.0
11078,2048-09-01,Elec_CAP[GwH],9.0,67707.0,-164.0
11079,2048-10-01,Elec_CAP[GwH],-1.0,68790.0,-165.0
11080,2049-02-01,Elec_CAP[GwH],5.0,71916.0,-160.0
11081,2049-05-01,Elec_CAP[GwH],4.0,72577.0,-156.0
11082,2049-06-01,Elec_CAP[GwH],-5.0,73257.0,-161.0
11083,2049-07-01,Elec_CAP[GwH],-5.0,74142.0,-166.0
11084,2049-09-01,Elec_CAP[GwH],4.0,76627.0,-162.0
11085,2049-10-01,Elec_CAP[GwH],-3.0,77860.0,-165.0
11086,2049-11-01,Elec_CAP[GwH],7.0,78848.0,-158.0
11087,2049-12-01,Elec_CAP[GwH],5.0,79585.0,-153.0
11088,2050-03-01,Elec_CAP[GwH],-2.0,79892.0,-155.0
11089,2050-05-01,Elec_CAP[GwH],7.0,79918.0,-148.0
11090,2050-06-01,Elec_CAP[GwH],3.0,80640.0,-145.0
11091,2050-07-01,Elec_CAP[GwH],8.0,81482.0,-137.0
11092,2050-08-01,Elec_CAP[GwH],-12.0,82679.0,-149.0
11093,2050-09-01,Elec_CAP[GwH],4.0,84024.0,-145.0
11094,2050-10-01,Elec_CAP[GwH],-2.0,85255.0,-147.0
11095,2050-12-01,Elec_CAP[GwH],-6.0,87268.0,-153.0
11096,2051-02-01,Elec_CAP[GwH],1.0,87818.0,-152.0
11097,2051-05-01,Elec_CAP[GwH],2.0,88486.0,-150.0
11098,2051-08-01,Elec_CAP[GwH],-4.0,91723.0,-154.0
11099,2051-10-01,Elec_CAP[GwH],-1.0,94538.0,-155.0
11100,2051-12-01,Elec_CAP[GwH],-3.0,96927.0,-158.0
11101,2052-01-01,Elec_CAP[GwH],-5.0,97885.0,-163.0
11102,2052-02-01,Elec_CAP[GwH],3.0,98828.0,-160.0
11103,2052-06-01,Elec_CAP[GwH],-1.0,101688.0,-161.0
11104,2052-09-01,Elec_CAP[GwH],-1.0,106394.0,-162.0
11105,2053-01-01,Elec_CAP[GwH],11.0,111948.0,-151.0
11106,2053-03-01,Elec_CAP[GwH],-3.0,114487.0,-154.0
11107,2053-07-01,Elec_CAP[GwH],-1.0,118418.0,-155.0
11108,2053-08-01,Elec_CAP[GwH],-1.0,120058.0,-156.0
11109,2053-10-01,Elec_CAP[GwH],-4.0,123527.0,-160.0
11110,2053-11-01,Elec_CAP[GwH],-25.0,124784.0,-185.0
11111,2053-12-01,Elec_CAP[GwH],4.0,125915.0,-181.0
11112,2054-01-01,Elec_CAP[GwH],7.0,127010.0,-174.0
11113,2054-05-01,Elec_CAP[GwH],-1.0,129594.0,-175.0
11114,2054-06-01,Elec_CAP[GwH],-1.0,130619.0,-176.0
11115,2054-07-01,Elec_CAP[GwH],-5.0,131931.0,-181.0
11116,2054-08-01,Elec_CAP[GwH],-9.0,133460.0,-190.0
11117,2054-09-01,Elec_CAP[GwH],-7.0,135143.0,-197.0
11118,2054-10-01,Elec_CAP[GwH],3.0,136778.0,-194.0
11119,2054-11-01,Elec_CAP[GwH],-3.0,138060.0,-197.0
11120,2054-12-01,Elec_CAP[GwH],-23.0,139048.0,-220.0
11121,2055-01-01,Elec_CAP[GwH],-3.0,140241.0,-223.0
11122,2055-02-01,Elec_CAP[GwH],554.0,141400.0,331.0
11123,2055-03-01,Elec_CAP[GwH],17.0,141697.0,348.0
11124,2055-04-01,Elec_CAP[GwH],4.0,141921.0,352.0
11125,2055-05-01,Elec_CAP[GwH],-3.0,142302.0,349.0
11126,2055-06-01,Elec_CAP[GwH],-1.0,143072.0,348.0
11127,2055-07-01,Elec_CAP[GwH],-2.0,144105.0,346.0
11128,2055-08-01,Elec_CAP[GwH],-2.0,145332.0,344.0
11129,2055-09-01,Elec_CAP[GwH],-10.0,146606.0,334.0
11130,2055-10-01,Elec_CAP[GwH],-6.0,147882.0,328.0
11131,2055-11-01,Elec_CAP[GwH],-5.0,149035.0,323.0
11132,2055-12-01,Elec_CAP[GwH],-7.0,150303.0,316.0
11133,2056-02-01,Elec_CAP[GwH],-3.0,151129.0,313.0
11134,2056-03-01,Elec_CAP[GwH],5.0,151318.0,318.0
11135,2056-06-01,Elec_CAP[GwH],-3.0,152418.0,315.0
11136,2056-07-01,Elec_CAP[GwH],-475.0,152805.0,-160.0
11137,2056-08-01,Elec_CAP[GwH],-489.0,153473.0,-649.0
11138,2056-09-01,Elec_CAP[GwH],-6.0,154748.0,-655.0
11139,2056-10-01,Elec_CAP[GwH],9.0,156108.0,-646.0
11140,2056-11-01,Elec_CAP[GwH],98.0,157458.0,-548.0
11141,2056-12-01,Elec_CAP[GwH],-12.0,158579.0,-560.0
11142,2057-01-01,Elec_CAP[GwH],-10.0,159310.0,-570.0
11143,2057-02-01,Elec_CAP[GwH],-4.0,159599.0,-574.0
11144,2057-03-01,Elec_CAP[GwH],-4.0,159799.0,-578.0
11145,2057-05-01,Elec_CAP[GwH],-8.0,160038.0,-586.0
11146,2057-06-01,Elec_CAP[GwH],-7.0,160318.0,-593.0
11147,2057-07-01,Elec_CAP[GwH],-3.0,161080.0,-596.0
11148,2057-08-01,Elec_CAP[GwH],512.0,162605.0,-84.0
11149,2057-09-01,Elec_CAP[GwH],509.0,164209.0,425.0
11150,2057-10-01,Elec_CAP[GwH],4.0,165369.0,429.0
11151,2057-11-01,Elec_CAP[GwH],-13.0,166426.0,416.0
11152,2057-12-01,Elec_CAP[GwH],-4.0,167357.0,412.0
11153,2058-01-01,Elec_CAP[GwH],-17.0,167740.0,395.0
11154,2058-04-01,Elec_CAP[GwH],4.0,167692.0,399.0
11155,2058-06-01,Elec_CAP[GwH],-13.0,168001.0,386.0
11156,2058-08-01,Elec_CAP[GwH],-480.0,169466.0,-94.0
11157,2058-09-01,Elec_CAP[GwH],-11.0,170675.0,-105.0
11158,2058-10-01,Elec_CAP[GwH],-3.0,171885.0,-108.0
11159,2058-11-01,Elec_CAP[GwH],11.0,173058.0,-97.0
11160,2058-12-01,Elec_CAP[GwH],3.0,173943.0,-94.0
11161,2059-02-01,Elec_CAP[GwH],-3.0,175201.0,-97.0
11162,2059-03-01,Elec_CAP[GwH],-2.0,175943.0,-99.0
11163,2059-06-01,Elec_CAP[GwH],-2.0,179047.0,-101.0
11164,2059-07-01,Elec_CAP[GwH],-3.0,180587.0,-104.0
11165,2059-08-01,Elec_CAP[GwH],-2.0,182734.0,-106.0
11166,2059-09-01,Elec_CAP[GwH],-2.0,184865.0,-108.0
11167,2059-10-01,Elec_CAP[GwH],-2.0,186846.0,-110.0
11168,2059-11-01,Elec_CAP[GwH],-425.0,188080.0,-535.0
11169,2059-12-01,Elec_CAP[GwH],-37.0,189510.0,-572.0
11170,2060-01-01,Elec_CAP[GwH],537.0,191427.0,-35.0
11171,2060-02-01,Elec_CAP[GwH],531.0,192310.0,496.0
11172,2060-03-01,Elec_CAP[GwH],2.0,192599.0,498.0
11173,2060-05-01,Elec_CAP[GwH],-5.0,193607.0,493.0
11174,2060-06-01,Elec_CAP[GwH],-5.0,194508.0,488.0
11175,2060-07-01,Elec_CAP[GwH],-5.0,195566.0,483.0
11176,2060-08-01,Elec_CAP[GwH],-2.0,197102.0,481.0
11177,2060-09-01,Elec_CAP[GwH],-2.0,198673.0,479.0
11178,2060-10-01,Elec_CAP[GwH],-10.0,200357.0,469.0
11179,2060-11-01,Elec_CAP[GwH],-3.0,201618.0,466.0
11180,2060-12-01,Elec_CAP[GwH],-5.0,202570.0,461.0
11181,2061-02-01,Elec_CAP[GwH],-575.0,202295.0,-114.0
11182,2061-03-01,Elec_CAP[GwH],-530.0,201132.0,-644.0
11183,2061-04-01,Elec_CAP[GwH],1.0,200989.0,-643.0
11184,2061-05-01,Elec_CAP[GwH],2.0,201456.0,-641.0
11185,2061-06-01,Elec_CAP[GwH],-5.0,202259.0,-646.0
11186,2061-07-01,Elec_CAP[GwH],-3.0,203307.0,-649.0
11187,2061-08-01,Elec_CAP[GwH],7.0,204703.0,-642.0
11188,2061-09-01,Elec_CAP[GwH],9.0,206242.0,-633.0
11189,2061-10-01,Elec_CAP[GwH],2.0,207805.0,-631.0
11190,2061-11-01,Elec_CAP[GwH],-2.0,209236.0,-633.0
11191,2062-01-01,Elec_CAP[GwH],3.0,212613.0,-630.0
11192,2062-02-01,Elec_CAP[GwH],26.0,213052.0,-604.0
11193,2062-03-01,Elec_CAP[GwH],-2.0,213105.0,-606.0
11194,2062-05-01,Elec_CAP[GwH],488.0,213957.0,-118.0
11195,2062-06-01,Elec_CAP[GwH],474.0,214879.0,356.0
11196,2062-07-01,Elec_CAP[GwH],9.0,215912.0,365.0
11197,2062-08-01,Elec_CAP[GwH],5.0,217233.0,370.0
11198,2062-09-01,Elec_CAP[GwH],-28.0,218709.0,342.0
11199,2062-10-01,Elec_CAP[GwH],-2.0,220211.0,340.0
11200,2062-11-01,Elec_CAP[GwH],-10.0,221632.0,330.0
11201,2062-12-01,Elec_CAP[GwH],3.0,222398.0,333.0
11202,2063-01-01,Elec_CAP[GwH],-2.0,223132.0,331.0
11203,2063-03-01,Elec_CAP[GwH],-2.0,224121.0,329.0
11204,2063-05-01,Elec_CAP[GwH],-454.0,225209.0,-125.0
11205,2063-06-01,Elec_CAP[GwH],-450.0,225960.0,-575.0
11206,2063-07-01,Elec_CAP[GwH],-21.0,227414.0,-596.0
11207,2063-08-01,Elec_CAP[GwH],-6.0,229218.0,-602.0
11208,2063-09-01,Elec_CAP[GwH],-9.0,231250.0,-611.0
11209,2063-10-01,Elec_CAP[GwH],-7.0,232997.0,-618.0
11210,2063-11-01,Elec_CAP[GwH],5.0,234641.0,-613.0
11211,2063-12-01,Elec_CAP[GwH],2.0,236088.0,-611.0
11212,2064-01-01,Elec_CAP[GwH],-17.0,237618.0,-628.0
11213,2064-02-01,Elec_CAP[GwH],-2.0,238612.0,-630.0
11214,2064-03-01,Elec_CAP[GwH],1.0,238881.0,-629.0
11215,2064-04-01,Elec_CAP[GwH],-2.0,239567.0,-631.0
11216,2064-05-01,Elec_CAP[GwH],-1.0,240209.0,-632.0
11217,2064-06-01,Elec_CAP[GwH],463.0,241852.0,-169.0
11218,2064-07-01,Elec_CAP[GwH],7.0,243235.0,-162.0
11219,2064-08-01,Elec_CAP[GwH],9.0,245147.0,-153.0
11220,2064-09-01,Elec_CAP[GwH],-15.0,247057.0,-168.0
11221,2064-10-01,Elec_CAP[GwH],-3.0,248796.0,-171.0
11222,2064-12-01,Elec_CAP[GwH],-4.0,251685.0,-175.0
11223,2065-01-01,Elec_CAP[GwH],-1.0,252856.0,-176.0
11224,2065-04-01,Elec_CAP[GwH],-4.0,253472.0,-180.0
11225,2065-05-01,Elec_CAP[GwH],3.0,253631.0,-177.0
11226,2065-06-01,Elec_CAP[GwH],-2.0,254259.0,-179.0
11227,2065-07-01,Elec_CAP[GwH],-13.0,255176.0,-192.0
11228,2065-08-01,Elec_CAP[GwH],-56.0,256492.0,-248.0
11229,2065-09-01,Elec_CAP[GwH],-3.0,258003.0,-251.0
11230,2065-10-01,Elec_CAP[GwH],8.0,259510.0,-243.0
11231,2065-11-01,Elec_CAP[GwH],-507.0,260199.0,-750.0
11232,2065-12-01,Elec_CAP[GwH],66.0,260826.0,-684.0
11233,2066-01-01,Elec_CAP[GwH],104.0,261388.0,-580.0
11234,2066-02-01,Elec_CAP[GwH],156.0,261552.0,-424.0
11235,2066-03-01,Elec_CAP[GwH],172.0,260879.0,-252.0
11236,2066-04-01,Elec_CAP[GwH],-3.0,260067.0,-255.0
11237,2066-08-01,Elec_CAP[GwH],11.0,262698.0,-244.0
11238,2066-09-01,Elec_CAP[GwH],-130.0,264155.0,-374.0
11239,2067-01-01,Elec_CAP[GwH],123.0,268864.0,-251.0
11240,2067-04-01,Elec_CAP[GwH],7.0,269354.0,-244.0
11241,2067-05-01,Elec_CAP[GwH],6.0,270257.0,-238.0
11242,2067-12-01,Elec_CAP[GwH],7.0,281938.0,-231.0
11243,2068-01-01,Elec_CAP[GwH],-23.0,283290.0,-254.0
11244,2068-02-01,Elec_CAP[GwH],2.0,283294.0,-252.0
11245,2068-03-01,Elec_CAP[GwH],3.0,283396.0,-249.0
11246,2069-03-01,Elec_CAP[GwH],8.0,299368.0,-241.0
11247,2069-09-01,Elec_CAP[GwH],-5.0,308265.0,-246.0
11248,2069-11-01,Elec_CAP[GwH],-39.0,312327.0,-285.0
11249,2070-01-01,Elec_CAP[GwH],-60.0,314802.0,-345.0
11250,2070-02-01,Elec_CAP[GwH],-75.0,315039.0,-420.0
11251,2070-03-01,Elec_CAP[GwH],2.0,315154.0,-418.0
11252,2070-04-01,Elec_CAP[GwH],-25.0,315492.0,-443.0
11253,2070-06-01,Elec_CAP[GwH],5.0,316958.0,-438.0
11254,2070-07-01,Elec_CAP[GwH],1.0,318252.0,-437.0
11255,2070-08-01,Elec_CAP[GwH],4.0,319846.0,-433.0
11256,2070-09-01,Elec_CAP[GwH],5.0,321553.0,-428.0
11257,2070-10-01,Elec_CAP[GwH],2.0,323507.0,-426.0
11258,2070-11-01,Elec_CAP[GwH],6.0,325370.0,-420.0
11259,2070-12-01,Elec_CAP[GwH],1.0,326327.0,-419.0
11396,2028-11-01,Elec_CVP[GwH],-14.0,489.0,-14.0
11397,2031-04-01,Elec_CVP[GwH],-2.0,2315.0,-16.0
11398,2039-03-01,Elec_CVP[GwH],-3.0,14945.0,-19.0
11399,2039-04-01,Elec_CVP[GwH],-3.0,14322.0,-22.0
11400,2040-02-01,Elec_CVP[GwH],3.0,16574.0,-19.0
11401,2040-03-01,Elec_CVP[GwH],-3.0,15693.0,-22.0
11402,2050-03-01,Elec_CVP[GwH],-2.0,79892.0,-24.0
11403,2057-04-01,Elec_CVP[GwH],-1.0,159827.0,-25.0
11404,2058-02-01,Elec_CVP[GwH],2.0,167813.0,-23.0
11405,2058-03-01,Elec_CVP[GwH],-3.0,167748.0,-26.0
11406,2058-04-01,Elec_CVP[GwH],-3.0,167692.0,-29.0
11407,2059-08-01,Elec_CVP[GwH],-18.0,182734.0,-47.0
11408,2061-02-01,Elec_CVP[GwH],22.0,202295.0,-25.0
11409,2061-03-01,Elec_CVP[GwH],25.0,201132.0,0.0
11410,2066-02-01,Elec_CVP[GwH],41.0,261552.0,41.0
11411,2066-03-01,Elec_CVP[GwH],-3.0,260879.0,38.0
11412,2070-03-01,Elec_CVP[GwH],7.0,315154.0,45.0
11261,2067-11-01,Elec_Central Utah Project 2[GwH],2.0,280232.0,2.0
11262,2069-11-01,Elec_Central Utah Project 2[GwH],2.0,312327.0,4.0
11263,2070-11-01,Elec_Central Utah Project 2[GwH],2.0,325370.0,6.0
11260,2068-05-01,Elec_Central Utah Project[GwH],2.0,285270.0,2.0
11264,2023-01-01,Elec_Colo Aqueduct[GwH],1.0,41.0,1.0
11265,2023-08-01,Elec_Colo Aqueduct[GwH],34.0,-202.0,35.0
11266,2023-09-01,Elec_Colo Aqueduct[GwH],25.0,-164.0,60.0
11267,2023-10-01,Elec_Colo Aqueduct[GwH],27.0,-120.0,87.0
11268,2023-12-01,Elec_Colo Aqueduct[GwH],5.0,-93.0,92.0
11269,2024-05-01,Elec_Colo Aqueduct[GwH],2.0,75.0,94.0
11270,2024-09-01,Elec_Colo Aqueduct[GwH],4.0,105.0,98.0
11271,2024-11-01,Elec_Colo Aqueduct[GwH],3.0,177.0,101.0
11272,2024-12-01,Elec_Colo Aqueduct[GwH],25.0,172.0,126.0
11273,2025-09-01,Elec_Colo Aqueduct[GwH],20.0,311.0,146.0
11274,2025-10-01,Elec_Colo Aqueduct[GwH],9.0,323.0,155.0
11275,2026-05-01,Elec_Colo Aqueduct[GwH],10.0,382.0,165.0
11276,2026-10-01,Elec_Colo Aqueduct[GwH],1.0,459.0,166.0
11277,2026-11-01,Elec_Colo Aqueduct[GwH],2.0,498.0,168.0
11278,2026-12-01,Elec_Colo Aqueduct[GwH],3.0,517.0,171.0
11279,2027-01-01,Elec_Colo Aqueduct[GwH],3.0,524.0,174.0
11280,2028-01-01,Elec_Colo Aqueduct[GwH],-3.0,681.0,171.0
11281,2028-02-01,Elec_Colo Aqueduct[GwH],6.0,689.0,177.0
11282,2028-06-01,Elec_Colo Aqueduct[GwH],3.0,618.0,180.0
11283,2028-08-01,Elec_Colo Aqueduct[GwH],2.0,648.0,182.0
11284,2028-09-01,Elec_Colo Aqueduct[GwH],14.0,707.0,196.0
11285,2029-09-01,Elec_Colo Aqueduct[GwH],13.0,997.0,209.0
11286,2029-10-01,Elec_Colo Aqueduct[GwH],6.0,1250.0,215.0
11287,2030-01-01,Elec_Colo Aqueduct[GwH],2.0,1517.0,217.0
11288,2031-06-01,Elec_Colo Aqueduct[GwH],6.0,2223.0,223.0
11289,2031-11-01,Elec_Colo Aqueduct[GwH],5.0,3661.0,228.0
11290,2031-12-01,Elec_Colo Aqueduct[GwH],5.0,3738.0,233.0
11291,2033-02-01,Elec_Colo Aqueduct[GwH],63.0,6193.0,296.0
11292,2034-04-01,Elec_Colo Aqueduct[GwH],14.0,8026.0,310.0
11293,2035-01-01,Elec_Colo Aqueduct[GwH],56.0,9529.0,366.0
11294,2035-05-01,Elec_Colo Aqueduct[GwH],2.0,9563.0,368.0
11295,2036-03-01,Elec_Colo Aqueduct[GwH],46.0,10843.0,414.0
11296,2036-04-01,Elec_Colo Aqueduct[GwH],1.0,10893.0,415.0
11297,2037-02-01,Elec_Colo Aqueduct[GwH],18.0,12287.0,433.0
11298,2037-04-01,Elec_Colo Aqueduct[GwH],40.0,12273.0,473.0
11299,2038-02-01,Elec_Colo Aqueduct[GwH],11.0,13719.0,484.0
11300,2038-04-01,Elec_Colo Aqueduct[GwH],1.0,13806.0,485.0
11301,2039-01-01,Elec_Colo Aqueduct[GwH],99.0,15218.0,584.0
11302,2039-11-01,Elec_Colo Aqueduct[GwH],9.0,16402.0,593.0
11303,2039-12-01,Elec_Colo Aqueduct[GwH],8.0,16533.0,601.0
11304,2040-05-01,Elec_Colo Aqueduct[GwH],-125.0,14573.0,476.0
11305,2040-12-01,Elec_Colo Aqueduct[GwH],12.0,18103.0,488.0
11306,2041-01-01,Elec_Colo Aqueduct[GwH],50.0,18309.0,538.0
11307,2041-04-01,Elec_Colo Aqueduct[GwH],-30.0,17416.0,508.0
11308,2041-05-01,Elec_Colo Aqueduct[GwH],-124.0,17127.0,384.0
11309,2041-12-01,Elec_Colo Aqueduct[GwH],11.0,21633.0,395.0
11310,2042-01-01,Elec_Colo Aqueduct[GwH],62.0,21874.0,457.0
11311,2042-02-01,Elec_Colo Aqueduct[GwH],14.0,22037.0,471.0
11312,2042-04-01,Elec_Colo Aqueduct[GwH],69.0,22162.0,540.0
11313,2043-02-01,Elec_Colo Aqueduct[GwH],96.0,28400.0,636.0
11314,2045-02-01,Elec_Colo Aqueduct[GwH],147.0,40200.0,783.0
11315,2045-04-01,Elec_Colo Aqueduct[GwH],3.0,40445.0,786.0
11316,2046-02-01,Elec_Colo Aqueduct[GwH],102.0,46843.0,888.0
11317,2046-04-01,Elec_Colo Aqueduct[GwH],82.0,47180.0,970.0
11318,2047-03-01,Elec_Colo Aqueduct[GwH],2.0,55438.0,972.0
11319,2047-04-01,Elec_Colo Aqueduct[GwH],3.0,55384.0,975.0
11320,2048-03-01,Elec_Colo Aqueduct[GwH],21.0,64146.0,996.0
11321,2048-05-01,Elec_Colo Aqueduct[GwH],13.0,64401.0,1009.0
11322,2048-12-01,Elec_Colo Aqueduct[GwH],1.0,70813.0,1010.0
11323,2049-01-01,Elec_Colo Aqueduct[GwH],11.0,71672.0,1021.0
11324,2049-02-01,Elec_Colo Aqueduct[GwH],-1.0,71916.0,1020.0
11325,2049-03-01,Elec_Colo Aqueduct[GwH],5.0,71900.0,1025.0
11326,2049-11-01,Elec_Colo Aqueduct[GwH],1.0,78848.0,1026.0
11327,2049-12-01,Elec_Colo Aqueduct[GwH],4.0,79585.0,1030.0
11328,2050-11-01,Elec_Colo Aqueduct[GwH],2.0,86296.0,1032.0
11329,2050-12-01,Elec_Colo Aqueduct[GwH],4.0,87268.0,1036.0
